"冢";9999;10;"表外漢字 (hyōgai kanji)";"冖";"チョウ ";"つか, おお.う ";"null";"mound, hillock";125;"chou ";"tsuka, oo.u "
"冤";2382;10;"表外漢字 (hyōgai kanji)";"冖";"エン ";"null";"null";"false charge, hatred";126;"en ";"null"
"冥";2349;10;"常用漢字 (jōyō kanji)";"冖";"メイ, ミョウ ";"くら.い ";"null";"dark";127;"mei, myou ";"kura.i "
"冨";1906;11;"人名用漢字 (jinmeiyō kanji)";"冖";"フ, フウ ";"と.む, とみ ";"と ";"enrich, wealthy, abundant";128;"fu, fuu ";"to.mu, tomi "
"冫";9999;2;"表外漢字 (hyōgai kanji)";"冫";"ヒョウ ";"こおり ";"null";"two-stroke water radical or ice radical (no. 15)";129;"hyou ";"koori "
"冬";1090;5;"教育漢字 (kyōiku kanji)";"冫";"トウ ";"ふゆ ";"null";"winter";130;"tou ";"fuyu "
"冴";2341;7;"人名用漢字 (jinmeiyō kanji)";"冫";"ゴ, コ ";"さ.える, こお.る, ひ.える ";"さえ, さえる ";"be clear, serene, cold, skilful";131;"go, ko ";"sa.eru, koo.ru, hi.eru "
"冷";667;7;"教育漢字 (kyōiku kanji)";"冫";"レイ ";"つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます ";"null";"cool, cold (beer, person), chill";132;"rei ";"tsume.tai, hi.eru, hi.ya, hi.yayaka, hi.yasu, hi.yakasu, sa.meru, sa.masu "
"凄";2313;10;"常用漢字 (jōyō kanji)";"冫";"セイ, サイ ";"さむ.い, すご.い, すさ.まじい ";"null";"uncanny, weird, threatening, horrible";133;"sei, sai ";"samu.i, sugo.i, susa.majii "
"准";1441;10;"常用漢字 (jōyō kanji)";"冫";"ジュン ";"null";"null";"quasi-, semi-, associate";134;"jun ";"null"
"凌";2423;10;"人名用漢字 (jinmeiyō kanji)";"冫";"リョウ ";"しの.ぐ ";"null";"endure, keep (rain)out, stave off, tide over, defy, slight, surpass";135;"ryou ";"shino.gu "
"凍";1284;10;"常用漢字 (jōyō kanji)";"冫";"トウ ";"こお.る, こご.える, こご.る, い.てる, し.みる ";"こおり ";"frozen, congeal, refrigerate";136;"tou ";"koo.ru, kogo.eru, kogo.ru, i.teru, shi.miru "
"凝";1712;16;"常用漢字 (jōyō kanji)";"冫";"ギョウ ";"こ.る, こ.らす, こご.らす, こご.らせる, こご.る ";"null";"congeal, freeze, stiff, be absorbed in";137;"gyou ";"ko.ru, ko.rasu, kogo.rasu, kogo.raseru, kogo.ru "
"几";9999;2;"表外漢字 (hyōgai kanji)";"几";"キ ";"きにょう ";"null";"table, table enclosure, table or windy radical (no. 16)";138;"ki ";"kinyou "
"凡";1730;3;"常用漢字 (jōyō kanji)";"几";"ボン, ハン ";"およ.そ, おうよ.そ, すべ.て ";"なみ, ひろ, みな ";"commonplace, ordinary, mediocre";139;"bon, han ";"oyo.so, ouyo.so, sube.te "
"処";547;5;"教育漢字 (kyōiku kanji)";"夂";"ショ ";"ところ, -こ, お.る ";"null";"dispose, manage, deal with, sentence, condemn, act, behave, place";140;"sho ";"tokoro, -ko, o.ru "
"凧";2117;5;"人名用漢字 (jinmeiyō kanji)";"几";"null";"いかのぼり, たこ ";"null";"kite, (kokuji)";141;"null";"ikanobori, tako "
"凱";2293;12;"人名用漢字 (jinmeiyō kanji)";"几";"ガイ, カイ ";"かちどき, やわらぐ ";"null";"victory song";142;"gai, kai ";"kachidoki, yawaragu "
